path,name,utc_ctime_estimate,utc_modified_time_estimate,utc_accessed_time_estimate,megabytes,extension,type
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_215053.jpg,20220314_215053.jpg,2024-12-13 02:07:07.436230421+00:00,2022-03-15 01:50:55+00:00,2024-12-14 08:57:45.969320297+00:00,2.666584,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_215826.jpg,20220314_215826.jpg,2024-12-13 02:07:07.461312294+00:00,2022-03-15 01:58:27+00:00,2024-12-14 08:57:45.921677828+00:00,2.722987,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_222122.jpg,20220314_222122.jpg,2024-12-13 02:07:07.470591068+00:00,2022-03-15 02:21:30+00:00,2024-12-14 08:57:42.420115709+00:00,1.910698,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_222126.jpg,20220314_222126.jpg,2024-12-13 02:07:07.481431484+00:00,2022-03-15 02:21:36+00:00,2024-12-14 08:57:42.542502880+00:00,1.878367,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_222134.jpg,20220314_222134.jpg,2024-12-13 02:07:07.500589609+00:00,2022-03-15 02:21:43+00:00,2024-12-14 08:57:42.683327913+00:00,1.915081,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_222510.jpg,20220314_222510.jpg,2024-12-13 02:07:07.514959097+00:00,2022-03-15 02:25:11+00:00,2024-12-14 08:57:42.869929790+00:00,2.305588,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_222512.jpg,20220314_222512.jpg,2024-12-13 02:07:07.528320074+00:00,2022-03-15 02:25:13+00:00,2024-12-14 08:57:42.990344048+00:00,2.467274,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_222517.jpg,20220314_222517.jpg,2024-12-13 02:07:07.563499928+00:00,2022-03-15 02:25:17+00:00,2024-12-14 08:57:42.888011694+00:00,2.339404,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_222519.jpg,20220314_222519.jpg,2024-12-13 02:07:07.576124907+00:00,2022-03-15 02:25:20+00:00,2024-12-14 08:57:43.006494522+00:00,2.365186,jpg,pic
/media/kjb3/KJB320TB1/D1V1/Vids Clips Pics/1 Unsorted Pics/34 Galaxy S21 Ultra/Vol 6/20220314_222634.jpg,20220314_222634.jpg,2024-12-13 02:07:07.588091612+00:00,2022-03-15 02:26:35+00:00,2024-12-14 08:57:42.750460625+00:00,2.060569,jpg,pic
